"Year","Length","number","Weight.g","total.Weight.kg"
2002,47,14,5.38890910726304,0.0754447275016826
2002,48,16,5.41837678494759,0.0866940285591615
2002,49,4,5.44723683814211,0.0217889473525684
2002,50,4,5.47551381988857,0.0219020552795543
2002,51,4,5.50323082443581,0.0220129232977432
2002,52,3,5.53040960056233,0.016591228801687
2002,53,1,5.55707065410451,0.00555707065410451
2002,56,1,5.63413578650975,0.00563413578650975
2002,57,1,5.65890922952874,0.00565890922952874
2003,33,6,4.89393223086613,0.0293635933851968
2003,34,14,4.93571631855271,0.0691000284597379
2003,35,29,4.97628910110889,0.144312383932158
2003,36,39,5.01571883501779,0.195613034565694
2003,37,35,5.05406816517501,0.176892385781125
2003,38,29,5.09139472364564,0.147650446985724
2003,39,18,5.12775165063253,0.0922995297113855
2003,40,13,5.16318804947653,0.0671214446431949
2003,41,5,5.19774938546564,0.0259887469273282
2003,42,4,5.23147783657995,0.0209259113463198
2003,43,7,5.26441260296031,0.0368508882207222
2003,44,12,5.29659018079593,0.0635590821695512
2003,45,12,5.32804460542983,0.063936535265158
2003,46,3,5.35880766774253,0.0160764230032276
2003,47,6,5.38890910726304,0.0323334546435783
2003,48,3,5.41837678494759,0.0162551303548428
2003,49,5,5.44723683814211,0.0272361841907105
2003,50,2,5.47551381988857,0.0109510276397771
2003,51,6,5.50323082443581,0.0330193849466148
2003,52,1,5.53040960056233,0.00553040960056233
2003,53,1,5.55707065410451,0.00555707065410451
2004,26,2,4.56023714474943,0.00912047428949886
2004,27,2,4.61306088508799,0.00922612177017598
2004,28,1,4.66396333069685,0.00466396333069685
2004,29,1,4.71307935233531,0.00471307935233531
2004,30,7,4.76053009954673,0.0333237106968271
2004,31,9,4.80642480102724,0.0432578232092451
2004,32,13,4.85086227906449,0.0630612096278384
2004,33,30,4.89393223086613,0.146817966925984
2004,34,45,4.93571631855271,0.222107234334872
2004,35,112,4.97628910110889,0.557344379324196
2004,36,156,5.01571883501779,0.782452138262775
2004,37,141,5.05406816517501,0.712623611289676
2004,38,113,5.09139472364564,0.575327603771957
2004,39,89,5.12775165063253,0.456369896906295
2004,40,66,5.16318804947653,0.340770411265451
2004,41,44,5.19774938546564,0.228700972960488
2004,42,46,5.23147783657995,0.240647980482678
2004,43,39,5.26441260296031,0.205312091515452
2004,44,24,5.29659018079593,0.127118164339102
2004,45,26,5.32804460542983,0.138529159741176
2004,46,16,5.35880766774253,0.0857409226838805
2004,47,7,5.38890910726304,0.0377223637508413
2004,48,9,5.41837678494759,0.0487653910645283
2004,49,3,5.44723683814211,0.0163417105144263
2004,50,2,5.47551381988857,0.0109510276397771
2004,51,2,5.50323082443581,0.0110064616488716
2004,52,4,5.53040960056233,0.0221216384022493
2004,53,1,5.55707065410451,0.00555707065410451
2004,54,1,5.58323334090089,0.00558323334090089
2005,30,5,4.76053009954673,0.0238026504977337
2005,31,10,4.80642480102724,0.0480642480102723
2005,32,9,4.85086227906449,0.0436577605115804
2005,33,19,4.89393223086613,0.0929847123864565
2005,34,18,4.93571631855271,0.0888428937339487
2005,35,30,4.97628910110889,0.149288673033267
2005,36,24,5.01571883501779,0.120377252040427
2005,37,43,5.05406816517501,0.217324931102525
2005,38,49,5.09139472364564,0.249478341458636
2005,39,62,5.12775165063253,0.317920602339217
